,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
9476,1507529,8039341,Private room,Manhattan,Central Park,0,,1,1.0,1.5,62.0,7,40.799539,-73.957105,2014-05-12 17:17:43.123
9477,1507676,8053373,Entire home/apt,Manhattan,Murray Hill,0,,2,1.0,1.0,561.0,1,40.747087,-73.977953,2014-05-12 07:52:21.106
9478,1507771,8053919,Entire home/apt,Brooklyn,Prospect-Lefferts Gardens,0,,2,1.0,1.0,112.0,15,40.66085,-73.962463,2014-05-12 16:07:03.274
9479,1507845,109505,Entire home/apt,Manhattan,Upper East Side,6,5.0,2,,1.0,163.0,2,40.76799,-73.951315,2014-05-11 22:53:43.151
9480,1507974,8054895,Entire home/apt,Manhattan,Stuyvesant Town,8,5.0,2,1.0,1.0,269.0,3,40.733688,-73.974445,2014-05-12 11:26:55.570
9481,1508284,1471900,Private room,Brooklyn,Greenpoint,0,,2,1.0,1.0,112.0,1,40.720254,-73.940539,2014-05-12 16:12:08.756
9482,1508426,8057514,Private room,Manhattan,Upper East Side,31,5.0,2,1.0,2.0,149.0,5,40.783559,-73.95402,2014-05-12 04:37:51.904
9483,1508461,6263312,Private room,Brooklyn,South Slope,12,5.0,2,1.0,1.0,107.0,1,40.665846,-73.986911,2014-05-12 09:19:05.235
9484,1508592,4913034,Entire home/apt,Brooklyn,Brooklyn Heights,3,5.0,4,1.0,1.0,201.0,2,40.696389,-73.993281,2014-05-12 20:39:29.869
9485,1509665,4132505,Entire home/apt,Manhattan,Greenwich Village,6,5.0,2,1.0,1.0,246.0,2,40.732306,-73.996721,2014-05-12 01:16:46.121
9486,1510226,8064442,Entire home/apt,Manhattan,East Village,4,4.5,2,1.0,1.0,168.0,3,40.730147,-73.989473,2014-05-12 05:19:37.141
9487,1510283,8066407,Private room,Manhattan,Harlem,5,5.0,2,1.0,1.0,111.0,2,40.799559,-73.953954,2014-05-12 11:53:57.703
9488,1510639,8068191,Shared room,Manhattan,East Village,1,4.5,1,1.0,1.0,196.0,1,40.726672,-73.984989,2014-05-12 20:34:33.769
9489,1510869,8069248,Private room,Brooklyn,Bushwick,5,4.5,2,1.0,1.0,73.0,1,40.706599,-73.922372,2014-05-12 18:21:31.834
9490,1510997,6244618,Private room,Brooklyn,Williamsburg,2,4.5,2,1.0,1.0,118.0,1,40.707981,-73.966275,2014-05-12 07:17:53.927
9491,1511048,2775685,Private room,Brooklyn,Williamsburg,0,,3,1.0,1.0,146.0,2,40.707046,-73.947556,2014-05-12 11:37:11.696
9492,1511216,8071107,Private room,Brooklyn,Bushwick,6,5.0,2,1.0,1.0,84.0,1,40.699239,-73.933129,2014-05-12 02:31:48.746
9493,1511283,8070604,Entire home/apt,Manhattan,Midtown,8,4.5,4,0.0,1.0,213.0,1,40.746574,-73.986879,2014-05-12 09:51:09.206
9494,1511303,1354796,Private room,Brooklyn,Flatbush,7,4.5,3,1.0,1.0,55.0,3,40.64882,-73.962531,2014-05-12 11:31:22.200
9495,1511358,2432389,Entire home/apt,Manhattan,East Village,0,,2,2.0,1.0,337.0,1,40.728663,-73.983339,2014-05-12 16:21:20.321
9496,1511569,8072802,Private room,Brooklyn,Williamsburg,40,5.0,2,1.0,1.0,100.0,1,40.716908,-73.950206,2014-05-12 12:27:12.279
9497,1511582,3183818,Private room,Brooklyn,Bedford-Stuyvesant,0,,2,1.0,1.0,47.0,2,40.684336,-73.943524,2014-05-12 13:36:44.360
9498,1511602,8073110,Entire home/apt,Brooklyn,Fort Greene,17,4.5,8,2.0,1.0,225.0,1,40.695662,-73.970993,2014-05-12 15:21:45.636
